recno,ObsDate,JD,Phase,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Rmag,e_Rmag,Imag,e_Imag,Inst
70,2454462.0,2454463.39,126.4,17.327,0.06,17.022,0.047,16.346,0.025,15.781,0.027,15.226,0.024,1
71,2454468.0,2454468.5,131.5,,,17.077,0.031,16.476,0.024,15.803,0.021,15.343,0.021,5
72,2454471.0,2454472.4,135.4,,,17.18,0.045,16.495,0.031,15.935,0.025,15.442,0.025,1
73,2454474.0,2454474.51,137.5,,,17.238,0.037,16.568,0.024,15.922,0.022,15.419,0.02,5
74,2454478.0,2454479.4,142.4,17.808,0.055,17.239,0.04,16.725,0.037,15.959,0.03,15.538,0.027,3
75,2454491.0,2454492.35,155.4,17.871,0.131,17.392,0.046,16.853,0.028,16.15,0.025,15.81,0.026,8
76,2454493.0,2454494.36,157.4,,,17.477,0.047,16.967,0.024,16.161,0.02,15.829,0.02,5
77,2454506.0,2454507.45,170.5,,,17.671,0.04,,,16.371,0.027,16.168,0.025,5
78,2454707.0,2454707.97,371.0,,,,,20.3,0.2,19.77,0.2,19.62,0.2,9
79,2454711.0,2454711.62,374.6,,,,,20.4,0.5,19.8,0.5,19.54,0.4,8
80,2454739.0,2454740.49,403.5,,,,,20.696,0.5,20.205,0.4,19.861,0.6,8
